Max Weight Clique - MonteCarloProb Algorithm

Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
56                            0.125                         113                           44889                         70822                         3.004296064376831
56                            0.25                          149                           44954                         39469                         3.001746654510498
56                            0.5                           163                           37884                         21704                         3.000408411026001
56                            0.75                          144                           33677                         15920                         3.0009467601776123
57                            0.125                         118                           42938                         68628                         3.003669500350952
57                            0.25                          140                           42284                         38020                         3.0018951892852783
57                            0.5                           179                           36646                         21755                         3.0005338191986084
57                            0.75                          145                           32634                         15498                         3.0011520385742188
58                            0.125                         127                           40818                         67339                         3.0035347938537598
58                            0.25                          138                           39924                         37288                         3.001217842102051
58                            0.5                           187                           33482                         21138                         3.0004172325134277
58                            0.75                          144                           30727                         14681                         3.001206874847412
59                            0.125                         104                           39726                         65030                         3.0031490325927734
59                            0.25                          149                           38802                         36607                         3.0012521743774414
59                            0.5                           171                           31206                         20850                         3.0003581047058105
59                            0.75                          144                           30145                         14531                         3.0010926723480225
60                            0.125                         113                           32946                         57040                         3.0027105808258057
60                            0.25                          135                           35904                         35779                         3.0011768341064453
60                            0.5                           144                           28550                         20394                         3.0014114379882812
60                            0.75                          144                           28106                         13758                         3.001218795776367
61                            0.125                         125                           35633                         60700                         3.002993106842041
61                            0.25                          130                           33995                         34888                         3.001016139984131
61                            0.5                           140                           28142                         20053                         3.001091718673706
61                            0.75                          144                           27774                         13555                         3.001208782196045
62                            0.125                         123                           35386                         60551                         3.0029702186584473
62                            0.25                          131                           32946                         34584                         3.0009279251098633
62                            0.5                           143                           27373                         19544                         3.00144100189209
62                            0.75                          144                           26909                         13193                         3.001070976257324
63                            0.125                         127                           33275                         59096                         3.0026731491088867
63                            0.25                          143                           30254                         33281                         3.0007829666137695
63                            0.5                           144                           26300                         18819                         3.0012712478637695
63                            0.75                          144                           26451                         12981                         3.0010905265808105
64                            0.125                         127                           31295                         56965                         3.00323748588562
64                            0.25                          135                           28650                         32842                         3.0007550716400146
64                            0.5                           141                           25184                         18323                         3.0013110637664795
64                            0.75                          145                           25445                         12486                         3.0008387565612793
65                            0.125                         130                           32504                         56641                         3.0023956298828125
65                            0.25                          161                           27812                         32264                         3.0004730224609375
65                            0.5                           139                           24587                         17786                         3.0014679431915283
65                            0.75                          140                           24434                         12134                         3.000959873199463
66                            0.125                         126                           30290                         55196                         3.002049446105957
66                            0.25                          134                           26289                         31908                         3.000436305999756
66                            0.5                           141                           23580                         17226                         3.001296043395996
66                            0.75                          141                           23723                         11787                         3.0011889934539795
67                            0.125                         126                           29610                         54772                         3.0019938945770264
67                            0.25                          138                           24440                         31319                         3.0003302097320557
67                            0.5                           141                           23697                         17166                         3.0013325214385986
67                            0.75                          145                           22891                         11545                         3.001110076904297
68                            0.125                         124                           27795                         53300                         3.0016775131225586
68                            0.25                          145                           22577                         30939                         3.0002830028533936
68                            0.5                           145                           22317                         16547                         3.0010063648223877
68                            0.75                          145                           21586                         11108                         3.0012221336364746
69                            0.125                         118                           27159                         52531                         3.0014944076538086
69                            0.25                          137                           21121                         30143                         3.0020194053649902
69                            0.5                           141                           21956                         16057                         3.0012760162353516
69                            0.75                          139                           21457                         10911                         3.001023769378662
70                            0.125                         131                           27498                         52821                         3.002382516860962
70                            0.25                          145                           21640                         30535                         3.0026605129241943
70                            0.5                           145                           21830                         16279                         3.0020217895507812
70                            0.75                          145                           20926                         10860                         3.001023292541504
71                            0.125                         126                           25230                         51408                         3.00144100189209
71                            0.25                          135                           21299                         30024                         3.002227306365967
71                            0.5                           141                           20826                         15555                         3.001211404800415
71                            0.75                          141                           20093                         10591                         3.001202344894409
72                            0.125                         124                           24302                         50274                         3.0010526180267334
72                            0.25                          140                           20602                         29162                         3.002108335494995
72                            0.5                           141                           20171                         15066                         3.000980854034424
72                            0.75                          142                           20057                         10535                         3.001206874847412
73                            0.125                         130                           23733                         50499                         3.001107692718506
73                            0.25                          145                           20526                         29195                         3.0020623207092285
73                            0.5                           145                           19584                         14841                         3.0012197494506836
73                            0.75                          142                           19265                         10272                         3.00111722946167
74                            0.125                         130                           22143                         49288                         3.0008716583251953
74                            0.25                          139                           19538                         27823                         3.002656936645508
74                            0.5                           141                           19418                         14694                         3.0010039806365967
74                            0.75                          142                           19096                         10126                         3.0010793209075928
75                            0.125                         130                           20932                         48626                         3.0005900859832764
75                            0.25                          137                           19003                         27126                         3.0020205974578857
75                            0.5                           140                           18963                         14355                         3.001309633255005
75                            0.75                          144                           17330                         9479                          3.0009069442749023
76                            0.125                         135                           19397                         47350                         3.000631332397461
76                            0.25                          138                           18693                         26573                         3.0019829273223877
76                            0.5                           140                           17380                         13380                         3.0011539459228516
76                            0.75                          145                           17342                         9459                          3.000887393951416
77                            0.125                         117                           18707                         47335                         3.0003907680511475
77                            0.25                          141                           18122                         25909                         3.002210855484009
77                            0.5                           146                           17977                         13756                         3.001183032989502
77                            0.75                          145                           16340                         9018                          3.0009939670562744
78                            0.125                         131                           16844                         46119                         3.0002548694610596
78                            0.25                          146                           17532                         25423                         3.0019097328186035
78                            0.5                           145                           16959                         13267                         3.0011425018310547
78                            0.75                          142                           16313                         9179                          3.001002311706543
79                            0.125                         130                           15599                         43434                         3.217787027359009
79                            0.25                          138                           17101                         25122                         3.0017523765563965
79                            0.5                           141                           16890                         13302                         3.0011074542999268
79                            0.75                          144                           16267                         9153                          3.0009613037109375
80                            0.125                         135                           16434                         46239                         3.0035455226898193
80                            0.25                          133                           16848                         24723                         3.00174617767334
80                            0.5                           140                           16602                         13063                         3.0008134841918945
80                            0.75                          144                           15614                         8942                          3.001021385192871
81                            0.125                         126                           16429                         45430                         3.00331974029541
81                            0.25                          132                           16362                         24294                         3.0018720626831055
81                            0.5                           138                           15890                         12701                         3.001298666000366
81                            0.75                          136                           15261                         8792                          3.0011303424835205
82                            0.125                         124                           15777                         43658                         3.003068208694458
82                            0.25                          131                           15401                         22927                         3.0017287731170654
82                            0.5                           137                           15438                         12463                         3.0007853507995605
82                            0.75                          140                           14597                         8606                          3.001242160797119
83                            0.125                         128                           15133                         43113                         3.0029351711273193
83                            0.25                          141                           15284                         22695                         3.001457929611206
